Allele Type	AMR Markers	Collection Date	Originating Country	Patient Age	Patient Gender	Beta-Lactamase	Isolate Classification(s)	MICs Determined By	Azithromycin	Cefixime	Ceftriaxone	Ciprofloxacin	Erythromycin	Penicillin	Spectinomycin	Tetracycline	Additional Epidemiological Data	Curator Comments
0	Wild Type	2010-12-08	Canada	35	F	Negative	EryR	Agar Dilution	4	0.008	0.008	0.004	>=64	0.5	16	1	Throat	
1	-35A Del	1997-01-01	Thialand			Negative	TRNG	Agar Dilution	0.25	<0.016	0.008	0.125	1	0.5	16	32		WHO-G;
2	-35A Del	2010-07-07	Canada		M	Negative	CipR/CMRNG	Agar Dilution	0.5	0.016	0.032	16	2	4	16	4	Penis/Urethra	
3	Wild Type	0000-00-00			U	Unknown												
4	Wild Type	2010-10-22	Canada		M	Negative	S	Agar Dilution	0.25	0.008	0.004	0.004	0.5	0.125	32	0.25	Penis/Urethra	
5	Wild Type	2005-04-29	Canada		F	Negative	S	Agar Dilution	0.063	0.004	0.002	0.004	0.063	0.125	16	0.25	Cervix	
6	Wild Type	2004-09-22	Canada		M	Negative	S	Agar Dilution	0.063	0.004	0.002	0.004	0.25	0.063	16	0.25	Penis/Urethra	
7	Wild Type	2001-01-01	Canada		M	Negative	S	Agar Dilution	0.125	0.004	0.002	0.004	0.5	0.063	16	1	Penis/Urethra	
8	Wild Type	2014-01-08	Canada		M	Negative	S	Agar Dilution	0.125	0.004	0.002	0.004	0.5	0.125	32	0.5	Penis/Urethra	
9	A39T	2005-12-01	Canada	53	M	Negative	S	Agar Dilution	0.25	0.002	0.001	0.016	0.5	0.032	16	0.25		
10	A39T	0000-00-00	Unknown															ATCC49226;
11	A39T	2010-01-01	Canada	25	F	Negative	S	Agar Dilution	0.125	0.004	0.004	0.004	0.5	0.25	16	0.25		
12	Wild Type	2011-01-01	Canada	24	M	Negative	S	Agar Dilution	0.25	0.004	0.004	0.004	1	0.25	16	1	Penis/Urethra	
13	Wild Type	2009-12-23	Canada	24	M	Negative	S	Agar Dilution	0.125	0.008	0.008	0.008	0.5	0.25	32	1		
14		1991-01-01	Canada			Negative		Agar Dilution	0.125	<0.016	<0.002	0.004	0.5	0.032	32	0.25		WHO-F
15	Wild Type	2005-10-25	Canada	36	M	Negative	S	Agar Dilution	0.125	0.004	0.004	0.008	0.5	0.25	16	1	Penis/Urethra	
16	-35A Del	2012-10-20	Canada	29	M	Negative	CipR/CMRNG	Agar Dilution	8	0.063	0.063	16	>=64	2	32	4		
17	Wild Type	2015-06-28	Canada	23	M	Unknown	S	Agar Dilution	0.125	0.008	0.008	0.004	0.5	0.125	16	0.25	Urethra	
18		2001-01-25	Canada		F	Negative	S	Agar Dilution	0.063	0.001	0.00025	0.063	0.25	0.008	16	0.5	Cervix	
19	-35A Del, G45D	1992-01-01	Philippines			Positive	PPNG	Agar Dilution	0.25	<0.016	0.012	2	1	8	16	1		WHO-M;
20	A39T	2001-02-08	Canada		M	Positive	CMRNG/CxDS/PPNG	Agar Dilution	0.5	0.032	0.125	0.032	2	4	32	4		
21	Wild Type	1998-01-01	Canada		M	Negative	PenR/TRNG	Agar Dilution	0.125	0.063	0.125	0.016	1	4	32	>=128	Urethra	
22	-35A Del	2008-01-21	Canada	36	F	Negative	CipR/CMRNG	Agar Dilution	16	0.063	0.063	16	>=128	4	16	2		
23	A39T	2010-04-07	Canada	34	M	Negative	S	Agar Dilution	0.25	0.032	0.016	0.004	1	0.25	16	1		
24	A39T	2011-05-10	Canada	19	M	Negative	S	Agar Dilution	0.25	0.004	0.004	0.004	1	0.25	16	1		
25	G45D	1996-01-01	Asia			Negative	CMRNG	Agar Dilution	0.5	0.25	0.125	>32	2	2	16	4		WHO-L;
26	A39T	2001-01-01	Australia			Positive	PPNG	Agar Dilution	0.125	<0.016	0.004	4	0.5	8	16	16		WHO-N;
27		2009-03-11	Canada		M	Negative	EryR/TetR	Agar Dilution	2	0.008	0.008	0.008	8	0.5	32	2	Rectum	N. meningiditis-like
28		2014-07-30	Canada	32	M	Negative	EryR/TetR	Agar Dilution	1	0.008	0.008	0.008	8	0.5	32	2	Penis/Urethra	N. meningiditis-like
29	Wild Type	2015-04-08	Canada	26	F	Unknown	TetR	Agar Dilution	0.125	0.016	0.008	0.004	1	0.25	16	2	Cervix	
30		2013-08-07	Canada	35	M	Negative	Probable-CMRNG	Agar Dilution	2	0.016	0.032	0.032	8	1	32	4	Throat	N. meningiditis-like
31	Wild Type	2013-05-08	Canada	34	M	Negative	EryR	Agar Dilution	2	0.008	0.004	0.008	4	0.25	16	1		
32		0000-00-00	USA			Negative		Agar Dilution	2	<0.016	0.004	0.004	4	0.25	16	0.5		WHO-P
33	Wild Type	2007-09-01	Canada		U	Negative	CeDS/CipR/CxDS/TetR	Agar Dilution	0.25	0.5	0.125	64	0.5	1	16	2		
34	-35A Del	2010-07-13	Canada		M	Negative	CipR/CMRNG	Agar Dilution	0.5	0.032	0.063	8	2	2	32	2	Rectum	
35	A39T	2010-01-01	Canada	51	M		CMRNG	Agar Dilution	0.25	0.032	0.032	0.016	2	2	32	4	Rectum	
36	-35A Del, A39T	1996-01-01	Canada		M	Negative	CMRNG	Agar Dilution	0.25	0.125	0.125	0.5	2	2	32	2	Penis/Urethra	
37	-35A Del, A39T, G45D	1997-01-01	Canada		M	Negative	CipR/CMRNG	Agar Dilution	0.25	0.063	0.125	16	2	2	16	2	Penis/Urethra	
38	A39T	2013-01-14	Canada		M	Negative	CipR/EryR/TRNG	Agar Dilution	0.5	0.032	0.032	1	2	1	32	32	Penis/Urethra	
39		2015-11-02	Canada	25	F	Negative	AzR/CipR/Probable-CMRNG	Agar Dilution	2	0.016	0.032	8	8	1	16	4	Cervix	N. meningiditis-like
40	A39T	2016-02-23	Canada	29	M	Negative	CipR	Agar Dilution	0.25	0.063	0.016	4	1	0.25	32	1	Rectal	
41	A39T	2015-11-17	Canada		U	Negative	TRNG	Agar Dilution	0.125	0.008	0.008	0.004	0.5	0.5	16	32	Urethra	
42	A39T	2016-06-16	Canada		U	Negative	S	Agar Dilution	0.25	0.016	0.008	0.008	1	0.5	16	0.5	Rectal	
43	A39T	2011-10-27	Netherlands	19	F	Unknown		Agar Dilution	0.5	0.008	0.032	0	0	0	0	0	Cervix	
44			USA		U	Unknown		Agar Dilution	0.5	0.25	0.125	16	0	2	0	4		N. meningiditis-like; CDC reference culture 0186
45	Wild Type	2016-10-06	USA		U	Unknown												
46		2016-10-06	USA		U	Unknown												N. meningiditis-like
47	A39T	2016-10-07	USA		U	Unknown												
48	Wild Type	2016-10-11	USA		U	Unknown												
49	A39T	2016-10-12	USA		U	Unknown												
50	Wild Type	2011-01-01	Sweden		U	Unknown		Agar Dilution	4	<0.016	0.002	0.004	>256	0.125	8	1		WHO-U. T insert at position 19.

51	Wild Type	2010-01-01	France		U	Unknown		Agar Dilution	1	1	1	>32	2	1	16	4		Wild Type; WHO-Y

52	Wild Type		USA		U	Unknown												
53	A39T,G45D		USA		U	Unknown												
54	A39T		USA		U	Unknown												
55	Wild Type		USA		U	Unknown												
56	MEN		USA		U	Unknown												
57	Wild Type		USA		U	Unknown												
58	Wild Type		USA		U	Unknown												
59	A39T		USA		U	Unknown												
60	Wild Type		USA		U	Unknown												
61	A39T		USA		U	Unknown												
62	A39T		USA		U	Unknown												
63	-35A Del,A39T		USA		U	Unknown												
64	-35A Del		USA		U	Unknown												
65	A39T		USA		U	Unknown												
66	A39T		USA		U	Unknown												T insert at position 19.
